Question,Section,Metric,Value,Interpretation
2. How long do the different process instances take?,Full case duration from first event to last event,50%,66.06,General case duration based on first and last recorded event in each case.
2. How long do the different process instances take?,Full case duration from first event to last event,75%,104.13,General case duration based on first and last recorded event in each case.
2. How long do the different process instances take?,Full case duration from first event to last event,max,742.0,General case duration based on first and last recorded event in each case.
1. Describe and visualize the general process flow,Variant analysis,Total unique variants,753,High number of variants indicates process variability and complexity.
1. Describe and visualize the general process flow,Variant analysis,Top 1 variant coverage,21.23%,Shows how much of the log follows the most common process path.
1. Describe and visualize the general process flow,Variant analysis,Top 5 variant coverage,45.27%,Shows how concentrated or fragmented the process is.
1. Describe and visualize the general process flow,Variant analysis,Top 10 variant coverage,55.12%,Additional measure of process standardization.
1. Describe and visualize the general process flow,Top 10 variants,Variant 1,1369 cases (21.23%),Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled
1. Describe and visualize the general process flow,Top 10 variants,Variant 2,624 cases (9.68%),Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit APPROVED by BUDGET OWNER -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration APPROVED by BUDGET OWNER -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled
1. Describe and visualize the general process flow,Top 10 variants,Variant 3,361 cases (5.6%),Permit SUBMITTED by EMPLOYEE -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled
1. Describe and visualize the general process flow,Top 10 variants,Variant 4,311 cases (4.82%),Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration REJECTED by ADMINISTRATION -> Declaration REJECTED by EMPLOYEE -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled
1. Describe and visualize the general process flow,Top 10 variants,Variant 5,254 cases (3.94%),Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by PRE_APPROVER -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by PRE_APPROVER -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled
1. Describe and visualize the general process flow,Top 10 variants,Variant 6,188 cases (2.92%),Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit APPROVED by BUDGET OWNER -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration REJECTED by ADMINISTRATION -> Declaration REJECTED by EMPLOYEE -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration APPROVED by BUDGET OWNER -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled
1. Describe and visualize the general process flow,Top 10 variants,Variant 7,157 cases (2.43%),Start trip -> End trip -> Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit FINAL_APPROVED by SUPERVISOR -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled
1. Describe and visualize the general process flow,Top 10 variants,Variant 8,111 cases (1.72%),Declaration SUBMITTED by EMPLOYEE -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled -> Start trip -> End trip
1. Describe and visualize the general process flow,Top 10 variants,Variant 9,94 cases (1.46%),Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit FINAL_APPROVED by SUPERVISOR -> Start trip -> End trip -> Send Reminder -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled
1. Describe and visualize the general process flow,Top 10 variants,Variant 10,85 cases (1.32%),Permit SUBMITTED by EMPLOYEE -> Permit APPROVED by ADMINISTRATION -> Permit APPROVED by SUPERVISOR -> Permit FINAL_APPROVED by DIRECTOR -> Start trip -> End trip -> Declaration SUBMITTED by EMPLOYEE -> Declaration APPROVED by ADMINISTRATION -> Declaration FINAL_APPROVED by SUPERVISOR -> Request Payment -> Payment Handled
1. Describe and visualize the general process flow,Start activities,Permit SUBMITTED by EMPLOYEE,5294 cases (82.09%),Shows how cases begin in the log.
1. Describe and visualize the general process flow,Start activities,Start trip,740 cases (11.47%),Shows how cases begin in the log.
1. Describe and visualize the general process flow,Start activities,Declaration SUBMITTED by EMPLOYEE,407 cases (6.31%),Shows how cases begin in the log.
1. Describe and visualize the general process flow,Start activities,Declaration SAVED by EMPLOYEE,8 cases (0.12%),Shows how cases begin in the log.
1. Describe and visualize the general process flow,End activities,Payment Handled,5646 cases (87.55%),Shows how cases end in the log.
1. Describe and visualize the general process flow,End activities,End trip,593 cases (9.2%),Shows how cases end in the log.
1. Describe and visualize the general process flow,End activities,Declaration REJECTED by EMPLOYEE,130 cases (2.02%),Shows how cases end in the log.
1. Describe and visualize the general process flow,End activities,Declaration SAVED by EMPLOYEE,54 cases (0.84%),Shows how cases end in the log.
1. Describe and visualize the general process flow,End activities,Declaration REJECTED by MISSING,11 cases (0.17%),Shows how cases end in the log.
1. Describe and visualize the general process flow,End activities,Permit REJECTED by MISSING,8 cases (0.12%),Shows how cases end in the log.
1. Describe and visualize the general process flow,End activities,Request Payment,3 cases (0.05%),Shows how cases end in the log.
1. Describe and visualize the general process flow,End activities,Send Reminder,2 cases (0.03%),Shows how cases end in the log.
1. Describe and visualize the general process flow,End activities,Declaration REJECTED by SUPERVISOR,1 cases (0.02%),Shows how cases end in the log.
1. Describe and visualize the general process flow,End activities,Declaration FINAL_APPROVED by SUPERVISOR,1 cases (0.02%),Shows how cases end in the log.
1. Describe and visualize the general process flow,Expected high-level flow,International declaration process,Permit submitted by employee -> Permit approved -> Permit final approved -> Start trip -> End trip -> Declaration submitted -> Declaration approved -> Declaration final approved -> Request payment -> Payment handled,The international process includes a permit phase before travel and a declaration/payment phase after travel.
2. How long do the different process instances take?,Throughput time intervals,Permit Submitted by Employee -> Payment Handled - Cases included,5761,Cases where both activities exist and the sequence has a non-negative duration.
2. How long do the different process instances take?,Throughput time intervals,Permit Submitted by Employee -> Payment Handled - Average days,72.04,Average duration for this process interval.
2. How long do the different process instances take?,Throughput time intervals,Permit Submitted by Employee -> Payment Handled - Median days,60.3,Median duration for this process interval.
2. How long do the different process instances take?,Throughput time intervals,Permit Submitted by Employee -> Payment Handled - Minimum days,4.17,Shortest observed valid duration.
2. How long do the different process instances take?,Throughput time intervals,Permit Submitted by Employee -> Payment Handled - Maximum days,463.09,Longest observed valid duration.
2. How long do the different process instances take?,Throughput time intervals,Permit Submitted by Employee -> Payment Handled - Invalid order cases,0,Cases where the end activity timestamp occurred before the start activity timestamp.
2. How long do the different process instances take?,Throughput time intervals,Permit Submitted by Employee -> Payment Handled - Missing pair cases,688,Cases where at least one of the two selected activities was missing.
2. How long do the different process instances take?,Throughput time intervals,End Trip -> Payment Handled - Cases included,5651,Cases where both activities exist and the sequence has a non-negative duration.
2. How long do the different process instances take?,Throughput time intervals,End Trip -> Payment Handled - Average days,31.79,Average duration for this process interval.
2. How long do the different process instances take?,Throughput time intervals,End Trip -> Payment Handled - Median days,20.73,Median duration for this process interval.
2. How long do the different process instances take?,Throughput time intervals,End Trip -> Payment Handled - Minimum days,0.73,Shortest observed valid duration.
2. How long do the different process instances take?,Throughput time intervals,End Trip -> Payment Handled - Maximum days,431.73,Longest observed valid duration.
2. How long do the different process instances take?,Throughput time intervals,End Trip -> Payment Handled - Invalid order cases,536,Cases where the end activity timestamp occurred before the start activity timestamp.
2. How long do the different process instances take?,Throughput time intervals,End Trip -> Payment Handled - Missing pair cases,262,Cases where at least one of the two selected activities was missing.
2. How long do the different process instances take?,Throughput time intervals,Declaration Submitted by Employee -> Payment Handled - Cases included,6187,Cases where both activities exist and the sequence has a non-negative duration.
2. How long do the different process instances take?,Throughput time intervals,Declaration Submitted by Employee -> Payment Handled - Average days,14.61,Average duration for this process interval.
2. How long do the different process instances take?,Throughput time intervals,Declaration Submitted by Employee -> Payment Handled - Median days,10.24,Median duration for this process interval.
2. How long do the different process instances take?,Throughput time intervals,Declaration Submitted by Employee -> Payment Handled - Minimum days,1.09,Shortest observed valid duration.
2. How long do the different process instances take?,Throughput time intervals,Declaration Submitted by Employee -> Payment Handled - Maximum days,429.15,Longest observed valid duration.
2. How long do the different process instances take?,Throughput time intervals,Declaration Submitted by Employee -> Payment Handled - Invalid order cases,0,Cases where the end activity timestamp occurred before the start activity timestamp.
2. How long do the different process instances take?,Throughput time intervals,Declaration Submitted by Employee -> Payment Handled - Missing pair cases,262,Cases where at least one of the two selected activities was missing.
2. How long do the different process instances take?,Throughput time intervals,End Trip -> Declaration Submitted by Employee - Cases included,5622,Cases where both activities exist and the sequence has a non-negative duration.
2. How long do the different process instances take?,Throughput time intervals,End Trip -> Declaration Submitted by Employee - Average days,20.64,Average duration for this process interval.
2. How long do the different process instances take?,Throughput time intervals,End Trip -> Declaration Submitted by Employee - Median days,9.66,Median duration for this process interval.
2. How long do the different process instances take?,Throughput time intervals,End Trip -> Declaration Submitted by Employee - Minimum days,0.11,Shortest observed valid duration.
2. How long do the different process instances take?,Throughput time intervals,End Trip -> Declaration Submitted by Employee - Maximum days,397.35,Longest observed valid duration.
2. How long do the different process instances take?,Throughput time intervals,End Trip -> Declaration Submitted by Employee - Invalid order cases,753,Cases where the end activity timestamp occurred before the start activity timestamp.
2. How long do the different process instances take?,Throughput time intervals,End Trip -> Declaration Submitted by Employee - Missing pair cases,74,Cases where at least one of the two selected activities was missing.
2. How long do the different process instances take?,Throughput time intervals,Request Payment -> Payment Handled - Cases included,6180,Cases where both activities exist and the sequence has a non-negative duration.
2. How long do the different process instances take?,Throughput time intervals,Request Payment -> Payment Handled - Average days,3.46,Average duration for this process interval.
2. How long do the different process instances take?,Throughput time intervals,Request Payment -> Payment Handled - Median days,3.22,Median duration for this process interval.
2. How long do the different process instances take?,Throughput time intervals,Request Payment -> Payment Handled - Minimum days,0.03,Shortest observed valid duration.
2. How long do the different process instances take?,Throughput time intervals,Request Payment -> Payment Handled - Maximum days,31.07,Longest observed valid duration.
2. How long do the different process instances take?,Throughput time intervals,Request Payment -> Payment Handled - Invalid order cases,3,Cases where the end activity timestamp occurred before the start activity timestamp.
2. How long do the different process instances take?,Throughput time intervals,Request Payment -> Payment Handled - Missing pair cases,266,Cases where at least one of the two selected activities was missing.
3. Are there any bottlenecks?,Bottleneck intervals,Permit Submitted -> Permit Approved by Administration - Cases included,4737,Cases where both activities exist and the sequence has a non-negative duration.
3. Are there any bottlenecks?,Bottleneck intervals,Permit Submitted -> Permit Approved by Administration - Average days,0.88,Average duration for this process interval.
3. Are there any bottlenecks?,Bottleneck intervals,Permit Submitted -> Permit Approved by Administration - Median days,0.0,Median duration for this process interval.
3. Are there any bottlenecks?,Bottleneck intervals,Permit Submitted -> Permit Approved by Administration - Minimum days,0.0,Shortest observed valid duration.
3. Are there any bottlenecks?,Bottleneck intervals,Permit Submitted -> Permit Approved by Administration - Maximum days,194.03,Longest observed valid duration.
3. Are there any bottlenecks?,Bottleneck intervals,Permit Submitted -> Permit Approved by Administration - Invalid order cases,0,Cases where the end activity timestamp occurred before the start activity timestamp.
3. Are there any bottlenecks?,Bottleneck intervals,Permit Submitted -> Permit Approved by Administration - Missing pair cases,1712,Cases where at least one of the two selected activities was missing.
3. Are there any bottlenecks?,Bottleneck intervals,Permit Approved by Administration -> Permit Final Approved by Supervisor - Cases included,4288,Cases where both activities exist and the sequence has a non-negative duration.
3. Are there any bottlenecks?,Bottleneck intervals,Permit Approved by Administration -> Permit Final Approved by Supervisor - Average days,3.45,Average duration for this process interval.
3. Are there any bottlenecks?,Bottleneck intervals,Permit Approved by Administration -> Permit Final Approved by Supervisor - Median days,2.02,Median duration for this process interval.
3. Are there any bottlenecks?,Bottleneck intervals,Permit Approved by Administration -> Permit Final Approved by Supervisor - Minimum days,0.0,Shortest observed valid duration.
3. Are there any bottlenecks?,Bottleneck intervals,Permit Approved by Administration -> Permit Final Approved by Supervisor - Maximum days,76.35,Longest observed valid duration.
3. Are there any bottlenecks?,Bottleneck intervals,Permit Approved by Administration -> Permit Final Approved by Supervisor - Invalid order cases,0,Cases where the end activity timestamp occurred before the start activity timestamp.
3. Are there any bottlenecks?,Bottleneck intervals,Permit Approved by Administration -> Permit Final Approved by Supervisor - Missing pair cases,2161,Cases where at least one of the two selected activities was missing.
3. Are there any bottlenecks?,Bottleneck intervals,End Trip -> Declaration Submitted by Employee - Cases included,5622,Cases where both activities exist and the sequence has a non-negative duration.
3. Are there any bottlenecks?,Bottleneck intervals,End Trip -> Declaration Submitted by Employee - Average days,20.64,Average duration for this process interval.
3. Are there any bottlenecks?,Bottleneck intervals,End Trip -> Declaration Submitted by Employee - Median days,9.66,Median duration for this process interval.
3. Are there any bottlenecks?,Bottleneck intervals,End Trip -> Declaration Submitted by Employee - Minimum days,0.11,Shortest observed valid duration.
3. Are there any bottlenecks?,Bottleneck intervals,End Trip -> Declaration Submitted by Employee - Maximum days,397.35,Longest observed valid duration.
3. Are there any bottlenecks?,Bottleneck intervals,End Trip -> Declaration Submitted by Employee - Invalid order cases,753,Cases where the end activity timestamp occurred before the start activity timestamp.
3. Are there any bottlenecks?,Bottleneck intervals,End Trip -> Declaration Submitted by Employee - Missing pair cases,74,Cases where at least one of the two selected activities was missing.
3. Are there any bottlenecks?,Bottleneck intervals,Declaration Submitted -> Declaration Approved by Administration - Cases included,4919,Cases where both activities exist and the sequence has a non-negative duration.
3. Are there any bottlenecks?,Bottleneck intervals,Declaration Submitted -> Declaration Approved by Administration - Average days,4.57,Average duration for this process interval.
3. Are there any bottlenecks?,Bottleneck intervals,Declaration Submitted -> Declaration Approved by Administration - Median days,0.02,Median duration for this process interval.
3. Are there any bottlenecks?,Bottleneck intervals,Declaration Submitted -> Declaration Approved by Administration - Minimum days,0.0,Shortest observed valid duration.
3. Are there any bottlenecks?,Bottleneck intervals,Declaration Submitted -> Declaration Approved by Administration - Maximum days,422.05,Longest observed valid duration.
3. Are there any bottlenecks?,Bottleneck intervals,Declaration Submitted -> Declaration Approved by Administration - Invalid order cases,0,Cases where the end activity timestamp occurred before the start activity timestamp.
3. Are there any bottlenecks?,Bottleneck intervals,Declaration Submitted -> Declaration Approved by Administration - Missing pair cases,1530,Cases where at least one of the two selected activities was missing.
3. Are there any bottlenecks?,Bottleneck intervals,Declaration Final Approved by Supervisor -> Request Payment - Cases included,5940,Cases where both activities exist and the sequence has a non-negative duration.
3. Are there any bottlenecks?,Bottleneck intervals,Declaration Final Approved by Supervisor -> Request Payment - Average days,3.44,Average duration for this process interval.
3. Are there any bottlenecks?,Bottleneck intervals,Declaration Final Approved by Supervisor -> Request Payment - Median days,1.21,Median duration for this process interval.
3. Are there any bottlenecks?,Bottleneck intervals,Declaration Final Approved by Supervisor -> Request Payment - Minimum days,0.0,Shortest observed valid duration.
3. Are there any bottlenecks?,Bottleneck intervals,Declaration Final Approved by Supervisor -> Request Payment - Maximum days,266.1,Longest observed valid duration.
3. Are there any bottlenecks?,Bottleneck intervals,Declaration Final Approved by Supervisor -> Request Payment - Invalid order cases,0,Cases where the end activity timestamp occurred before the start activity timestamp.
3. Are there any bottlenecks?,Bottleneck intervals,Declaration Final Approved by Supervisor -> Request Payment - Missing pair cases,509,Cases where at least one of the two selected activities was missing.
3. Are there any bottlenecks?,Bottleneck intervals,Request Payment -> Payment Handled - Cases included,6180,Cases where both activities exist and the sequence has a non-negative duration.
3. Are there any bottlenecks?,Bottleneck intervals,Request Payment -> Payment Handled - Average days,3.46,Average duration for this process interval.
3. Are there any bottlenecks?,Bottleneck intervals,Request Payment -> Payment Handled - Median days,3.22,Median duration for this process interval.
3. Are there any bottlenecks?,Bottleneck intervals,Request Payment -> Payment Handled - Minimum days,0.03,Shortest observed valid duration.
3. Are there any bottlenecks?,Bottleneck intervals,Request Payment -> Payment Handled - Maximum days,31.07,Longest observed valid duration.
3. Are there any bottlenecks?,Bottleneck intervals,Request Payment -> Payment Handled - Invalid order cases,3,Cases where the end activity timestamp occurred before the start activity timestamp.
3. Are there any bottlenecks?,Bottleneck intervals,Request Payment -> Payment Handled - Missing pair cases,266,Cases where at least one of the two selected activities was missing.
3. Are there any bottlenecks?,Main bottleneck,Largest median delay interval,End Trip -> Declaration Submitted by Employee,This interval has the largest median duration among the checked bottleneck intervals. Median days: 9.66; Average days: 20.64.
4. How many applications get rejected?,Rejection summary,Rejected cases,1755,Number of unique cases with at least one rejection-related activity.
4. How many applications get rejected?,Rejection summary,Rejection rate,27.21%,Rejected cases divided by total cases.
4. How many applications get rejected?,Rejection activities by case count,Declaration REJECTED by EMPLOYEE,1483,Case count is preferred because one case can contain repeated rejection events.
4. How many applications get rejected?,Rejection activities by case count,Declaration REJECTED by ADMINISTRATION,1287,Case count is preferred because one case can contain repeated rejection events.
4. How many applications get rejected?,Rejection activities by case count,Permit REJECTED by EMPLOYEE,214,Case count is preferred because one case can contain repeated rejection events.
4. How many applications get rejected?,Rejection activities by case count,Declaration REJECTED by SUPERVISOR,122,Case count is preferred because one case can contain repeated rejection events.
4. How many applications get rejected?,Rejection activities by case count,Declaration REJECTED by MISSING,98,Case count is preferred because one case can contain repeated rejection events.
4. How many applications get rejected?,Rejection activities by case count,Permit REJECTED by SUPERVISOR,92,Case count is preferred because one case can contain repeated rejection events.
4. How many applications get rejected?,Rejection activities by case count,Declaration REJECTED by PRE_APPROVER,82,Case count is preferred because one case can contain repeated rejection events.
4. How many applications get rejected?,Rejection activities by case count,Permit REJECTED by ADMINISTRATION,80,Case count is preferred because one case can contain repeated rejection events.
4. How many applications get rejected?,Rejection activities by case count,Permit REJECTED by MISSING,42,Case count is preferred because one case can contain repeated rejection events.
4. How many applications get rejected?,Rejection activities by case count,Declaration REJECTED by BUDGET OWNER,40,Case count is preferred because one case can contain repeated rejection events.
4. How many applications get rejected?,Rejection activities by case count,Permit REJECTED by BUDGET OWNER,29,Case count is preferred because one case can contain repeated rejection events.
4. How many applications get rejected?,Rejection activities by case count,Permit REJECTED by PRE_APPROVER,24,Case count is preferred because one case can contain repeated rejection events.
4. How many applications get rejected?,Rejection activities by case count,Declaration REJECTED by DIRECTOR,4,Case count is preferred because one case can contain repeated rejection events.
4. How many applications get rejected?,Rejection activities by case count,Permit REJECTED by DIRECTOR,1,Case count is preferred because one case can contain repeated rejection events.
4. How many applications get rejected?,Rejection activities by event count,Declaration REJECTED by EMPLOYEE,1780,Event count can be higher than case count because one case may contain repeated rejection activities.
4. How many applications get rejected?,Rejection activities by event count,Declaration REJECTED by ADMINISTRATION,1549,Event count can be higher than case count because one case may contain repeated rejection activities.
4. How many applications get rejected?,Rejection activities by event count,Permit REJECTED by EMPLOYEE,231,Event count can be higher than case count because one case may contain repeated rejection activities.
4. How many applications get rejected?,Rejection activities by event count,Declaration REJECTED by SUPERVISOR,126,Event count can be higher than case count because one case may contain repeated rejection activities.
4. How many applications get rejected?,Rejection activities by event count,Declaration REJECTED by MISSING,103,Event count can be higher than case count because one case may contain repeated rejection activities.
4. How many applications get rejected?,Rejection activities by event count,Permit REJECTED by SUPERVISOR,92,Event count can be higher than case count because one case may contain repeated rejection activities.
4. How many applications get rejected?,Rejection activities by event count,Declaration REJECTED by PRE_APPROVER,84,Event count can be higher than case count because one case may contain repeated rejection activities.
4. How many applications get rejected?,Rejection activities by event count,Permit REJECTED by ADMINISTRATION,83,Event count can be higher than case count because one case may contain repeated rejection activities.
4. How many applications get rejected?,Rejection activities by event count,Permit REJECTED by MISSING,43,Event count can be higher than case count because one case may contain repeated rejection activities.
4. How many applications get rejected?,Rejection activities by event count,Declaration REJECTED by BUDGET OWNER,40,Event count can be higher than case count because one case may contain repeated rejection activities.
4. How many applications get rejected?,Rejection activities by event count,Permit REJECTED by BUDGET OWNER,31,Event count can be higher than case count because one case may contain repeated rejection activities.
4. How many applications get rejected?,Rejection activities by event count,Permit REJECTED by PRE_APPROVER,25,Event count can be higher than case count because one case may contain repeated rejection activities.
4. How many applications get rejected?,Rejection activities by event count,Declaration REJECTED by DIRECTOR,4,Event count can be higher than case count because one case may contain repeated rejection activities.
